No.	Time	Source	Destination	Protocol	Length	Info
7798	44.808956200	192.168.50.145	162.254.198.101	UDP	860	47488 → 27028 Len=818
7799	44.813250700	162.254.198.101	192.168.50.145	UDP	1222	27028 → 47488 Len=1180
7800	44.813254400	162.254.198.101	192.168.50.145	UDP	1299	27028 → 47488 Len=1257
7801	44.815071700	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7802	44.816177700	162.254.198.101	192.168.50.145	UDP	302	27028 → 47488 Len=260
7803	44.824535500	192.168.50.145	162.254.198.101	UDP	855	47488 → 27028 Len=813
7804	44.827402800	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7805	44.827403700	162.254.198.101	192.168.50.145	UDP	1122	27028 → 47488 Len=1080
7806	44.839076400	192.168.50.145	162.254.198.101	UDP	840	47488 → 27028 Len=798
7807	44.842858000	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7808	44.842861100	162.254.198.101	192.168.50.145	UDP	579	27028 → 47488 Len=537
7809	44.855560200	192.168.50.145	162.254.198.101	UDP	900	47488 → 27028 Len=858
7810	44.858726800	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7811	44.858729500	162.254.198.101	192.168.50.145	UDP	609	27028 → 47488 Len=567
7812	44.871677400	192.168.50.145	162.254.198.101	UDP	844	47488 → 27028 Len=802
7813	44.874139800	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7814	44.874144100	162.254.198.101	192.168.50.145	UDP	530	27028 → 47488 Len=488
7815	44.885942900	192.168.50.145	162.254.198.101	UDP	838	47488 → 27028 Len=796
7816	44.889777500	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7817	44.889781700	162.254.198.101	192.168.50.145	UDP	679	27028 → 47488 Len=637
7818	44.901702300	192.168.50.145	162.254.198.101	UDP	846	47488 → 27028 Len=804
7819	44.905681900	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7820	44.905683600	162.254.198.101	192.168.50.145	UDP	231	27028 → 47488 Len=189
7821	44.917829600	192.168.50.145	162.254.198.101	UDP	792	47488 → 27028 Len=750
7822	44.920814900	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7823	44.920816100	162.254.198.101	192.168.50.145	UDP	264	27028 → 47488 Len=222
7824	44.933450200	192.168.50.145	162.254.198.101	UDP	811	47488 → 27028 Len=769
