No.	Time	Source	Destination	Protocol	Length	Info
1	0.000000000	155.133.252.53	192.168.50.145	UDP	1270	27055 → 35903 Len=1228
2	0.003644600	192.168.50.145	155.133.252.53	UDP	318	35903 → 27055 Len=276
3	0.015703700	155.133.252.53	192.168.50.145	UDP	1245	27055 → 35903 Len=1203
4	0.023653000	192.168.50.145	155.133.252.53	UDP	322	35903 → 27055 Len=280
5	0.029884000	192.168.50.145	155.133.252.53	UDP	322	35903 → 27055 Len=280
6	0.031208500	155.133.252.53	192.168.50.145	UDP	1268	27055 → 35903 Len=1226
7	0.047500300	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
8	0.047502600	155.133.252.53	192.168.50.145	UDP	446	27055 → 35903 Len=404
9	0.055392000	192.168.50.145	155.133.252.53	UDP	296	35903 → 27055 Len=254
10	0.062526900	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
11	0.062528100	155.133.252.53	192.168.50.145	UDP	218	27055 → 35903 Len=176
12	0.071011500	192.168.50.145	155.133.252.53	UDP	322	35903 → 27055 Len=280
13	0.078105000	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
14	0.078105700	155.133.252.53	192.168.50.145	UDP	109	27055 → 35903 Len=67
15	0.082662500	192.168.50.145	155.133.252.53	UDP	318	35903 → 27055 Len=276
16	0.093728800	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
17	0.093729900	155.133.252.53	192.168.50.145	UDP	110	27055 → 35903 Len=68
18	0.102783300	192.168.50.145	155.133.252.53	UDP	313	35903 → 27055 Len=271
19	0.109165000	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
20	0.109165600	155.133.252.53	192.168.50.145	UDP	100	27055 → 35903 Len=58
21	0.113364900	192.168.50.145	155.133.252.53	UDP	309	35903 → 27055 Len=267
22	0.124841500	192.168.50.145	155.133.252.53	UDP	313	35903 → 27055 Len=271
23	0.125129500	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
24	0.125130100	155.133.252.53	192.168.50.145	UDP	138	27055 → 35903 Len=96
25	0.140785500	155.133.252.53	192.168.50.145	UDP	1230	27055 → 35903 Len=1188
26	0.145142600	192.168.50.145	155.133.252.53	UDP	313	35903 → 27055 Len=271
27	0.158068700	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
28	0.158069900	155.133.252.53	192.168.50.145	UDP	316	27055 → 35903 Len=274
29	0.161237900	192.168.50.145	155.133.252.53	UDP	318	35903 → 27055 Len=276
30	0.171882100	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
31	0.171882800	155.133.252.53	192.168.50.145	UDP	134	27055 → 35903 Len=92
32	0.176892300	192.168.50.145	155.133.252.53	UDP	318	35903 → 27055 Len=276
33	0.187247300	155.133.252.53	192.168.50.145	UDP	1204	27055 → 35903 Len=1162
34	0.188507100	192.168.50.145	155.133.252.53	UDP	348	35903 → 27055 Len=306
35	0.203650200	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
36	0.203848400	155.133.252.53	192.168.50.145	UDP	1089	27055 → 35903 Len=1047
37	0.208642500	192.168.50.145	155.133.252.53	UDP	318	35903 → 27055 Len=276
38	0.218859800	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
39	0.218911000	155.133.252.53	192.168.50.145	UDP	330	27055 → 35903 Len=288
40	0.224786100	192.168.50.145	155.133.252.53	UDP	318	35903 → 27055 Len=276
41	0.234301000	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
42	0.234301900	155.133.252.53	192.168.50.145	UDP	287	27055 → 35903 Len=245
43	0.240421600	192.168.50.145	155.133.252.53	UDP	318	35903 → 27055 Len=276
44	0.251977800	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
45	0.251979300	155.133.252.53	192.168.50.145	UDP	1041	27055 → 35903 Len=999
46	0.252001700	192.168.50.145	155.133.252.53	UDP	348	35903 → 27055 Len=306
47	0.265635200	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
48	0.265706500	155.133.252.53	192.168.50.145	UDP	736	27055 → 35903 Len=694
49	0.272199300	192.168.50.145	155.133.252.53	UDP	318	35903 → 27055 Len=276
50	0.279131000	192.168.50.145	155.133.252.53	UDP	318	35903 → 27055 Len=276
51	0.280971500	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
52	0.281053100	155.133.252.53	192.168.50.145	UDP	804	27055 → 35903 Len=762
53	0.296794900	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
54	0.296796200	155.133.252.53	192.168.50.145	UDP	403	27055 → 35903 Len=361
55	0.303977100	192.168.50.145	155.133.252.53	UDP	292	35903 → 27055 Len=250
56	0.312571500	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
57	0.312835700	155.133.252.53	192.168.50.145	UDP	494	27055 → 35903 Len=452
58	0.320094200	192.168.50.145	155.133.252.53	UDP	322	35903 → 27055 Len=280
59	0.326278000	192.168.50.145	155.133.252.53	UDP	322	35903 → 27055 Len=280
60	0.328118900	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
61	0.328120100	155.133.252.53	192.168.50.145	UDP	413	27055 → 35903 Len=371
62	0.344726600	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
63	0.344727400	155.133.252.53	192.168.50.145	UDP	296	27055 → 35903 Len=254
64	0.347436400	192.168.50.145	155.133.252.53	UDP	366	35903 → 27055 Len=324
65	0.359446200	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
66	0.359447300	155.133.252.53	192.168.50.145	UDP	324	27055 → 35903 Len=282
67	0.365655900	192.168.50.145	155.133.252.53	UDP	407	35903 → 27055 Len=365
68	0.374873900	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
69	0.374876500	155.133.252.53	192.168.50.145	UDP	227	27055 → 35903 Len=185
70	0.383632400	192.168.50.145	155.133.252.53	UDP	379	35903 → 27055 Len=337
71	0.389881600	192.168.50.145	155.133.252.53	UDP	399	35903 → 27055 Len=357
72	0.391039200	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
73	0.391043100	155.133.252.53	192.168.50.145	UDP	702	27055 → 35903 Len=660
74	0.406201000	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
75	0.406202400	155.133.252.53	192.168.50.145	UDP	354	27055 → 35903 Len=312
76	0.415327900	192.168.50.145	155.133.252.53	UDP	397	35903 → 27055 Len=355
77	0.421921300	155.133.252.53	192.168.50.145	UDP	1303	27055 → 35903 Len=1261
78	0.421922300	155.133.252.53	192.168.50.145	UDP	205	27055 → 35903 Len=163
79	0.431013100	192.168.50.145	155.133.252.53	UDP	363	35903 → 27055 Len=321
80	0.437487400	192.168.50.145	155.133.252.53	UDP	363	35903 → 27055 Len=321
