No.	Time	Source	Destination	Protocol	Length	Info
1	0.000000000	192.168.50.145	162.254.198.102	UDP	306	53895 → 27022 Len=264
2	0.001434300	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
3	0.001436300	162.254.198.102	192.168.50.145	UDP	522	27022 → 53895 Len=480
4	0.011710500	192.168.50.145	162.254.198.102	UDP	306	53895 → 27022 Len=264
5	0.017029500	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
6	0.017030300	162.254.198.102	192.168.50.145	UDP	121	27022 → 53895 Len=79
7	0.031751700	192.168.50.145	162.254.198.102	UDP	279	53895 → 27022 Len=237
8	0.032745600	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
9	0.032748000	162.254.198.102	192.168.50.145	UDP	610	27022 → 53895 Len=568
10	0.038673600	192.168.50.145	162.254.198.102	UDP	303	53895 → 27022 Len=261
11	0.049038900	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
12	0.049039500	162.254.198.102	192.168.50.145	UDP	693	27022 → 53895 Len=651
13	0.063510900	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
14	0.063735700	162.254.198.102	192.168.50.145	UDP	868	27022 → 53895 Len=826
15	0.064004300	192.168.50.145	162.254.198.102	UDP	279	53895 → 27022 Len=237
16	0.079311600	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
17	0.079468000	162.254.198.102	192.168.50.145	UDP	554	27022 → 53895 Len=512
18	0.080123400	192.168.50.145	162.254.198.102	UDP	393	53895 → 27022 Len=351
19	0.092018500	192.168.50.145	162.254.198.102	UDP	386	53895 → 27022 Len=344
20	0.095075300	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
21	0.095230600	162.254.198.102	192.168.50.145	UDP	612	27022 → 53895 Len=570
22	0.110885000	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
23	0.110887300	162.254.198.102	192.168.50.145	UDP	568	27022 → 53895 Len=526
24	0.111909200	192.168.50.145	162.254.198.102	UDP	303	53895 → 27022 Len=261
25	0.118133900	192.168.50.145	162.254.198.102	UDP	299	53895 → 27022 Len=257
26	0.126897800	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
27	0.126901800	162.254.198.102	192.168.50.145	UDP	592	27022 → 53895 Len=550
28	0.141749900	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
29	0.141755000	162.254.198.102	192.168.50.145	UDP	311	27022 → 53895 Len=269
30	0.143673100	192.168.50.145	162.254.198.102	UDP	316	53895 → 27022 Len=274
31	0.154281700	192.168.50.145	162.254.198.102	UDP	345	53895 → 27022 Len=303
32	0.157356400	162.254.198.102	192.168.50.145	UDP	1281	27022 → 53895 Len=1239
33	0.165956300	192.168.50.145	162.254.198.102	UDP	349	53895 → 27022 Len=307
34	0.173093300	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
35	0.173094800	162.254.198.102	192.168.50.145	UDP	469	27022 → 53895 Len=427
36	0.186012400	192.168.50.145	162.254.198.102	UDP	339	53895 → 27022 Len=297
37	0.188664000	162.254.198.102	192.168.50.145	UDP	1235	27022 → 53895 Len=1193
38	0.201665300	192.168.50.145	162.254.198.102	UDP	301	53895 → 27022 Len=259
39	0.204267900	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
40	0.204269600	162.254.198.102	192.168.50.145	UDP	616	27022 → 53895 Len=574
41	0.218361700	192.168.50.145	162.254.198.102	UDP	301	53895 → 27022 Len=259
42	0.219836300	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
43	0.219837700	162.254.198.102	192.168.50.145	UDP	208	27022 → 53895 Len=166
44	0.234017100	192.168.50.145	162.254.198.102	UDP	398	53895 → 27022 Len=356
45	0.235290600	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
46	0.235291800	162.254.198.102	192.168.50.145	UDP	194	27022 → 53895 Len=152
47	0.250129800	192.168.50.145	162.254.198.102	UDP	458	53895 → 27022 Len=416
48	0.251224300	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
49	0.251226200	162.254.198.102	192.168.50.145	UDP	452	27022 → 53895 Len=410
50	0.265109800	192.168.50.145	162.254.198.102	UDP	496	53895 → 27022 Len=454
51	0.267133000	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
52	0.267134500	162.254.198.102	192.168.50.145	UDP	163	27022 → 53895 Len=121
53	0.280428600	192.168.50.145	162.254.198.102	UDP	582	53895 → 27022 Len=540
54	0.282749300	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
55	0.282750400	162.254.198.102	192.168.50.145	UDP	287	27022 → 53895 Len=245
56	0.293155400	192.168.50.145	44.245.239.204	TLSv1.2	160	Application Data
57	0.293190800	192.168.50.145	44.245.239.204	TLSv1.2	93	Application Data
58	0.293204700	192.168.50.145	44.245.239.204	TLSv1.2	423	Application Data
59	0.295966600	192.168.50.145	162.254.198.102	UDP	543	53895 → 27022 Len=501
60	0.298468100	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
61	0.298469500	162.254.198.102	192.168.50.145	UDP	230	27022 → 53895 Len=188
62	0.313276800	192.168.50.145	162.254.198.102	UDP	556	53895 → 27022 Len=514
63	0.314353700	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
64	0.314354600	162.254.198.102	192.168.50.145	UDP	441	27022 → 53895 Len=399
65	0.329324200	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
66	0.329326900	162.254.198.102	192.168.50.145	UDP	409	27022 → 53895 Len=367
67	0.329335500	192.168.50.145	162.254.198.102	UDP	629	53895 → 27022 Len=587
68	0.344027900	192.168.50.145	162.254.198.102	UDP	698	53895 → 27022 Len=656
69	0.344880300	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
70	0.344882500	162.254.198.102	192.168.50.145	UDP	320	27022 → 53895 Len=278
71	0.360680000	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
72	0.360682900	162.254.198.102	192.168.50.145	UDP	536	27022 → 53895 Len=494
73	0.361084900	192.168.50.145	162.254.198.102	UDP	777	53895 → 27022 Len=735
74	0.376077100	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
75	0.376078900	162.254.198.102	192.168.50.145	UDP	298	27022 → 53895 Len=256
76	0.376843000	192.168.50.145	162.254.198.102	UDP	823	53895 → 27022 Len=781
77	0.390901000	192.168.50.145	162.254.198.102	UDP	838	53895 → 27022 Len=796
78	0.391541900	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
79	0.391692700	162.254.198.102	192.168.50.145	UDP	507	27022 → 53895 Len=465
80	0.407204600	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
81	0.407206300	162.254.198.102	192.168.50.145	UDP	223	27022 → 53895 Len=181
82	0.407840500	192.168.50.145	162.254.198.102	UDP	814	53895 → 27022 Len=772
83	0.421903100	192.168.50.145	162.254.198.102	UDP	789	53895 → 27022 Len=747
84	0.423252400	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
85	0.423410200	162.254.198.102	192.168.50.145	UDP	272	27022 → 53895 Len=230
86	0.437844500	192.168.50.145	162.254.198.102	UDP	801	53895 → 27022 Len=759
87	0.438891400	162.254.198.102	192.168.50.145	UDP	1279	27022 → 53895 Len=1237
88	0.453772300	192.168.50.145	162.254.198.102	UDP	842	53895 → 27022 Len=800
89	0.454323500	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
90	0.454327300	162.254.198.102	192.168.50.145	UDP	291	27022 → 53895 Len=249
91	0.469253800	192.168.50.145	162.254.198.102	UDP	814	53895 → 27022 Len=772
92	0.469951500	162.254.198.102	192.168.50.145	UDP	1244	27022 → 53895 Len=1202
93	0.485690700	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
94	0.485691900	162.254.198.102	192.168.50.145	UDP	100	27022 → 53895 Len=58
95	0.486428600	192.168.50.145	162.254.198.102	UDP	726	53895 → 27022 Len=684
96	0.501328200	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
97	0.501329800	162.254.198.102	192.168.50.145	UDP	300	27022 → 53895 Len=258
98	0.501958200	192.168.50.145	162.254.198.102	UDP	627	53895 → 27022 Len=585
99	0.515836400	192.168.50.145	162.254.198.102	UDP	591	53895 → 27022 Len=549
100	0.516755000	162.254.198.102	192.168.50.145	UDP	1093	27022 → 53895 Len=1051
101	0.531643000	192.168.50.145	162.254.198.102	UDP	591	53895 → 27022 Len=549
102	0.532225200	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
103	0.532226200	162.254.198.102	192.168.50.145	UDP	228	27022 → 53895 Len=186
104	0.532703900	44.245.239.204	192.168.50.145	TCP	60	443 → 57555 [ACK] Seq=1 Ack=107 Win=348 Len=0
105	0.532719900	44.245.239.204	192.168.50.145	TCP	60	443 → 57555 [ACK] Seq=1 Ack=146 Win=348 Len=0
106	0.532720400	44.245.239.204	192.168.50.145	TCP	60	443 → 57555 [ACK] Seq=1 Ack=515 Win=360 Len=0
107	0.532728500	44.245.239.204	192.168.50.145	TLSv1.2	93	Application Data
108	0.547554500	44.245.239.204	192.168.50.145	TLSv1.2	511	Application Data
109	0.547595100	192.168.50.145	44.245.239.204	TCP	54	57555 → 443 [ACK] Seq=515 Ack=497 Win=255 Len=0
110	0.547634500	44.245.239.204	192.168.50.145	TLSv1.2	85	Application Data
111	0.548132400	192.168.50.145	44.245.239.204	TLSv1.2	89	Application Data
112	0.548718200	192.168.50.145	162.254.198.102	UDP	591	53895 → 27022 Len=549
113	0.549164400	162.254.198.102	192.168.50.145	UDP	1281	27022 → 53895 Len=1239
114	0.563004100	192.168.50.145	162.254.198.102	UDP	590	53895 → 27022 Len=548
115	0.563394200	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
116	0.563399900	162.254.198.102	192.168.50.145	UDP	315	27022 → 53895 Len=273
117	0.578540900	192.168.50.145	162.254.198.102	UDP	590	53895 → 27022 Len=548
118	0.579014100	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
119	0.579015700	162.254.198.102	192.168.50.145	UDP	192	27022 → 53895 Len=150
120	0.594159500	192.168.50.145	162.254.198.102	UDP	590	53895 → 27022 Len=548
121	0.594941300	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
122	0.594942600	162.254.198.102	192.168.50.145	UDP	164	27022 → 53895 Len=122
123	0.609738300	192.168.50.145	162.254.198.102	UDP	645	53895 → 27022 Len=603
124	0.611781400	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
125	0.611783100	162.254.198.102	192.168.50.145	UDP	220	27022 → 53895 Len=178
126	0.625780200	162.254.198.102	192.168.50.145	UDP	1257	27022 → 53895 Len=1215
127	0.625961900	192.168.50.145	162.254.198.102	UDP	679	53895 → 27022 Len=637
128	0.631475800	192.168.50.145	8.8.8.8	ICMP	74	Echo (ping) request  id=0x0001, seq=192/49152, ttl=64 (reply in 137)
129	0.641582400	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
130	0.641583300	162.254.198.102	192.168.50.145	UDP	213	27022 → 53895 Len=171
131	0.642086100	192.168.50.145	162.254.198.102	UDP	679	53895 → 27022 Len=637
132	0.657379100	162.254.198.102	192.168.50.145	UDP	1187	27022 → 53895 Len=1145
133	0.657709100	192.168.50.145	162.254.198.102	UDP	650	53895 → 27022 Len=608
134	0.672825400	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
135	0.672826500	162.254.198.102	192.168.50.145	UDP	256	27022 → 53895 Len=214
136	0.673890300	192.168.50.145	162.254.198.102	UDP	600	53895 → 27022 Len=558
137	0.675605700	8.8.8.8	192.168.50.145	ICMP	74	Echo (ping) reply    id=0x0001, seq=192/49152, ttl=106 (request in 128)
138	0.688658700	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
139	0.688659800	162.254.198.102	192.168.50.145	UDP	160	27022 → 53895 Len=118
140	0.689051000	192.168.50.145	162.254.198.102	UDP	600	53895 → 27022 Len=558
141	0.704433500	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
142	0.704436500	162.254.198.102	192.168.50.145	UDP	862	27022 → 53895 Len=820
143	0.705128400	192.168.50.145	162.254.198.102	UDP	635	53895 → 27022 Len=593
144	0.720083400	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
145	0.720087700	162.254.198.102	192.168.50.145	UDP	578	27022 → 53895 Len=536
146	0.721266000	192.168.50.145	162.254.198.102	UDP	709	53895 → 27022 Len=667
147	0.734594000	192.168.50.145	162.254.198.102	UDP	804	53895 → 27022 Len=762
148	0.752073900	192.168.50.145	162.254.198.102	UDP	860	53895 → 27022 Len=818
149	0.763777200	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
150	0.763779100	162.254.198.102	192.168.50.145	UDP	301	27022 → 53895 Len=259
151	0.763839300	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
152	0.763842800	162.254.198.102	192.168.50.145	UDP	493	27022 → 53895 Len=451
153	0.766426100	192.168.50.145	162.254.198.102	UDP	885	53895 → 27022 Len=843
154	0.766490800	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
155	0.766668600	162.254.198.102	192.168.50.145	UDP	208	27022 → 53895 Len=166
156	0.781553100	192.168.50.145	162.254.198.102	UDP	882	53895 → 27022 Len=840
157	0.782213100	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
158	0.782214300	162.254.198.102	192.168.50.145	UDP	442	27022 → 53895 Len=400
159	0.798842700	192.168.50.145	162.254.198.102	UDP	887	53895 → 27022 Len=845
160	0.799048900	162.254.198.102	192.168.50.145	UDP	1237	27022 → 53895 Len=1195
161	0.813423000	162.254.198.102	192.168.50.145	UDP	1303	27022 → 53895 Len=1261
162	0.813424200	162.254.198.102	192.168.50.145	UDP	203	27022 → 53895 Len=161
163	0.814945500	192.168.50.145	162.254.198.102	UDP	880	53895 → 27022 Len=838
164	0.827896000	44.245.239.204	192.168.50.145	TCP	60	443 → 57555 [ACK] Seq=528 Ack=550 Win=360 Len=0
165	0.828769800	192.168.50.145	162.254.198.102	UDP	882	53895 → 27022 Len=840
166	0.828887100	162.254.198.102	192.168.50.145	UDP	1232	27022 → 53895 Len=1190
