No.	Time	Source	Destination	Protocol	Length	Info
2021	11.552559500	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2022	11.552563200	155.133.252.89	192.168.50.145	UDP	937	27019 → 61613 Len=895
2023	11.555929000	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2024	11.568315100	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2025	11.568315900	155.133.252.89	192.168.50.145	UDP	966	27019 → 61613 Len=924
2026	11.581223600	192.168.50.145	155.133.252.89	UDP	279	61613 → 27019 Len=237
2027	11.584007000	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2028	11.584012800	155.133.252.89	192.168.50.145	UDP	1029	27019 → 61613 Len=987
2029	11.596851800	192.168.50.145	155.133.252.89	UDP	298	61613 → 27019 Len=256
2030	11.599869500	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2031	11.599872200	155.133.252.89	192.168.50.145	UDP	581	27019 → 61613 Len=539
2032	11.603512300	192.168.50.145	155.133.252.89	UDP	298	61613 → 27019 Len=256
2033	11.614657100	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2034	11.614658100	155.133.252.89	192.168.50.145	UDP	267	27019 → 61613 Len=225
2035	11.624766400	192.168.50.145	155.133.252.89	UDP	343	61613 → 27019 Len=301
2036	11.630888400	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2037	11.630889300	155.133.252.89	192.168.50.145	UDP	1235	27019 → 61613 Len=1193
2038	11.644736600	192.168.50.145	155.133.252.89	UDP	345	61613 → 27019 Len=303
2039	11.646147400	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2040	11.646151600	155.133.252.89	192.168.50.145	UDP	502	27019 → 61613 Len=460
2041	11.660377200	192.168.50.145	155.133.252.89	UDP	345	61613 → 27019 Len=303
2042	11.661436400	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2043	11.661437300	155.133.252.89	192.168.50.145	UDP	355	27019 → 61613 Len=313
2044	11.666931400	192.168.50.145	155.133.252.89	UDP	363	61613 → 27019 Len=321
2045	11.677468100	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2046	11.677469700	155.133.252.89	192.168.50.145	UDP	468	27019 → 61613 Len=426
2047	11.688126900	192.168.50.145	155.133.252.89	UDP	348	61613 → 27019 Len=306
2048	11.692931700	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2049	11.692933800	155.133.252.89	192.168.50.145	UDP	530	27019 → 61613 Len=488
2050	11.708257300	192.168.50.145	155.133.252.89	UDP	345	61613 → 27019 Len=303
2051	11.708365800	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2052	11.708366800	155.133.252.89	192.168.50.145	UDP	237	27019 → 61613 Len=195
2053	11.723911700	192.168.50.145	155.133.252.89	UDP	345	61613 → 27019 Len=303
2054	11.724319400	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2055	11.724320500	155.133.252.89	192.168.50.145	UDP	340	27019 → 61613 Len=298
2056	11.740023500	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2057	11.740024500	155.133.252.89	192.168.50.145	UDP	201	27019 → 61613 Len=159
2058	11.740076100	192.168.50.145	155.133.252.89	UDP	363	61613 → 27019 Len=321
2059	11.750619400	192.168.50.145	8.8.8.8	ICMP	74	Echo (ping) request  id=0x0001, seq=95/24320, ttl=64 (reply in 2068)
2060	11.751660300	192.168.50.145	155.133.252.89	UDP	330	61613 → 27019 Len=288
2061	11.755338500	155.133.252.89	192.168.50.145	UDP	1275	27019 → 61613 Len=1233
2062	11.770741300	155.133.252.89	192.168.50.145	UDP	1282	27019 → 61613 Len=1240
2063	11.771800600	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2064	11.786155300	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2065	11.786157900	155.133.252.89	192.168.50.145	UDP	84	27019 → 61613 Len=42
2066	11.787436400	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2067	11.794018800	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2068	11.797277300	8.8.8.8	192.168.50.145	ICMP	74	Echo (ping) reply    id=0x0001, seq=95/24320, ttl=105 (request in 2059)
2069	11.801885100	155.133.252.89	192.168.50.145	UDP	1177	27019 → 61613 Len=1135
2070	11.814174300	192.168.50.145	155.133.252.89	UDP	303	61613 → 27019 Len=261
2071	11.818374600	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2072	11.818378900	155.133.252.89	192.168.50.145	UDP	859	27019 → 61613 Len=817
2073	11.829802200	192.168.50.145	155.133.252.89	UDP	303	61613 → 27019 Len=261
2074	11.833540700	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2075	11.833541300	155.133.252.89	192.168.50.145	UDP	181	27019 → 61613 Len=139
2076	11.845946700	192.168.50.145	155.133.252.89	UDP	303	61613 → 27019 Len=261
2077	11.849097500	155.133.252.89	192.168.50.145	UDP	1240	27019 → 61613 Len=1198
2078	11.857362000	192.168.50.145	155.133.252.89	UDP	329	61613 → 27019 Len=287
2079	11.865283300	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2080	11.865284500	155.133.252.89	192.168.50.145	UDP	96	27019 → 61613 Len=54
2081	11.877676800	192.168.50.145	155.133.252.89	UDP	305	61613 → 27019 Len=263
2082	11.880291000	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2083	11.880292000	155.133.252.89	192.168.50.145	UDP	106	27019 → 61613 Len=64
2084	11.893306100	192.168.50.145	155.133.252.89	UDP	305	61613 → 27019 Len=263
2085	11.895853700	155.133.252.89	192.168.50.145	UDP	1295	27019 → 61613 Len=1253
2086	11.909445700	192.168.50.145	155.133.252.89	UDP	305	61613 → 27019 Len=263
2087	11.911376700	155.133.252.89	192.168.50.145	UDP	1165	27019 → 61613 Len=1123
2088	11.920818400	192.168.50.145	155.133.252.89	UDP	330	61613 → 27019 Len=288
2089	11.928557100	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2090	11.928560000	155.133.252.89	192.168.50.145	UDP	1299	27019 → 61613 Len=1257
2091	11.930136000	155.133.252.89	192.168.50.145	UDP	363	27019 → 61613 Len=321
2092	11.941195900	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2093	11.942901400	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2094	11.942902300	155.133.252.89	192.168.50.145	UDP	183	27019 → 61613 Len=141
2095	11.956839500	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2096	11.958279400	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2097	11.958280400	155.133.252.89	192.168.50.145	UDP	148	27019 → 61613 Len=106
2098	11.968409800	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2099	11.974351900	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2100	11.974388700	155.133.252.89	192.168.50.145	UDP	142	27019 → 61613 Len=100
2101	11.988572900	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2102	11.989655400	155.133.252.89	192.168.50.145	UDP	1291	27019 → 61613 Len=1249
2103	12.004729000	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2104	12.005425300	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2105	12.005426300	155.133.252.89	192.168.50.145	UDP	215	27019 → 61613 Len=173
2106	12.020355700	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2107	12.021549200	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2108	12.021550200	155.133.252.89	192.168.50.145	UDP	394	27019 → 61613 Len=352
2109	12.031798700	192.168.50.145	155.133.252.89	UDP	330	61613 → 27019 Len=288
2110	12.036538500	155.133.252.89	192.168.50.145	UDP	1237	27019 → 61613 Len=1195
2111	12.052090900	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2112	12.052509800	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2113	12.052511200	155.133.252.89	192.168.50.145	UDP	452	27019 → 61613 Len=410
2114	12.067524400	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2115	12.067526800	155.133.252.89	192.168.50.145	UDP	199	27019 → 61613 Len=157
2116	12.068244400	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2117	12.083601100	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2118	12.083602100	155.133.252.89	192.168.50.145	UDP	306	27019 → 61613 Len=264
2119	12.083859700	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2120	12.095418100	192.168.50.145	155.133.252.89	UDP	330	61613 → 27019 Len=288
2121	12.099070800	155.133.252.89	192.168.50.145	UDP	1222	27019 → 61613 Len=1180
2122	12.114652400	155.133.252.89	192.168.50.145	UDP	1265	27019 → 61613 Len=1223
2123	12.115615400	192.168.50.145	155.133.252.89	UDP	305	61613 → 27019 Len=263
2124	12.130310600	155.133.252.89	192.168.50.145	UDP	1270	27019 → 61613 Len=1228
2125	12.131743100	192.168.50.145	155.133.252.89	UDP	305	61613 → 27019 Len=263
2126	12.137675300	192.168.50.145	155.133.252.89	UDP	305	61613 → 27019 Len=263
2127	12.146489900	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2128	12.146491600	155.133.252.89	192.168.50.145	UDP	422	27019 → 61613 Len=380
2129	12.157955400	192.168.50.145	155.133.252.89	UDP	302	61613 → 27019 Len=260
2130	12.161573700	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2131	12.161574700	155.133.252.89	192.168.50.145	UDP	134	27019 → 61613 Len=92
2132	12.174095500	192.168.50.145	155.133.252.89	UDP	303	61613 → 27019 Len=261
2133	12.177492000	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2134	12.177493100	155.133.252.89	192.168.50.145	UDP	156	27019 → 61613 Len=114
2135	12.189740200	192.168.50.145	155.133.252.89	UDP	303	61613 → 27019 Len=261
2136	12.193082200	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2137	12.193308200	155.133.252.89	192.168.50.145	UDP	310	27019 → 61613 Len=268
2138	12.201174600	192.168.50.145	155.133.252.89	UDP	330	61613 → 27019 Len=288
2139	12.209409200	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2140	12.209412700	155.133.252.89	192.168.50.145	UDP	200	27019 → 61613 Len=158
2141	12.221506900	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2142	12.224023700	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2143	12.224247100	155.133.252.89	192.168.50.145	UDP	311	27019 → 61613 Len=269
2144	12.237639900	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2145	12.239833600	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2146	12.239834600	155.133.252.89	192.168.50.145	UDP	150	27019 → 61613 Len=108
2147	12.253279400	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2148	12.256215700	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2149	12.256218200	155.133.252.89	192.168.50.145	UDP	521	27019 → 61613 Len=479
2150	12.264842500	192.168.50.145	155.133.252.89	UDP	330	61613 → 27019 Len=288
2151	12.271227700	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2152	12.271228500	155.133.252.89	192.168.50.145	UDP	161	27019 → 61613 Len=119
2153	12.285019700	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2154	12.286935400	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2155	12.286936300	155.133.252.89	192.168.50.145	UDP	198	27019 → 61613 Len=156
2156	12.301145600	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2157	12.302229400	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2158	12.302230200	155.133.252.89	192.168.50.145	UDP	157	27019 → 61613 Len=115
2159	12.316790500	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2160	12.318022800	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2161	12.318024000	155.133.252.89	192.168.50.145	UDP	193	27019 → 61613 Len=151
2162	12.328284500	192.168.50.145	155.133.252.89	UDP	330	61613 → 27019 Len=288
2163	12.334162000	155.133.252.89	192.168.50.145	UDP	1177	27019 → 61613 Len=1135
2164	12.348530100	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2165	12.349683500	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2166	12.349686500	155.133.252.89	192.168.50.145	UDP	364	27019 → 61613 Len=322
2167	12.364695700	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2168	12.364930200	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2169	12.364931000	155.133.252.89	192.168.50.145	UDP	105	27019 → 61613 Len=63
2170	12.380319600	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
2171	12.380521500	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2172	12.380522100	155.133.252.89	192.168.50.145	UDP	99	27019 → 61613 Len=57
2173	12.391716800	192.168.50.145	155.133.252.89	UDP	329	61613 → 27019 Len=287
2174	12.396247100	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2175	12.396248200	155.133.252.89	192.168.50.145	UDP	114	27019 → 61613 Len=72
2176	12.411674000	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2177	12.411674700	155.133.252.89	192.168.50.145	UDP	213	27019 → 61613 Len=171
2178	12.412043900	192.168.50.145	155.133.252.89	UDP	305	61613 → 27019 Len=263
2179	12.427250000	155.133.252.89	192.168.50.145	UDP	1303	27019 → 61613 Len=1261
2180	12.427250800	155.133.252.89	192.168.50.145	UDP	212	27019 → 61613 Len=170
